# x 	 avg 	 error 
  0	1.00003051882	0
100	100.708892014	0.00708892013766
200	200.825823455	0.00412911727626
300	301.25270963	0.00417569876699
400	401.479126879	0.00369781719754
500	502.013160181	0.00402632036113
600	601.196733548	0.00199455591301
700	699.940805126	8.45641057911e-05
800	799.59857751	0.000501778112153
900	898.809740858	0.00132251015813
1000	999.581937062	0.000418062938012
1100	1100.54992102	0.000499928201174
1200	1201.7137603	0.00142813358506
1300	1300.90806234	0.000698509491348
1400	1401.36043038	0.000971735983201
1500	1501.44542208	0.000963614718697
1600	1600.93272314	0.000582951964739
1700	1701.91573079	0.00112690046652
1800	1801.40314741	0.000779526338085
1900	1901.49947879	0.000789199365367
2000	2000.40273337	0.000201366687249
2100	2100.24806557	0.000118126463327
2200	2199.56078019	0.000199645366617
2300	2300.28637275	0.000124509891587
2400	2400.01286971	5.36237941352e-06
2500	2500.35040242	0.000140160966656
2600	2601.19022347	0.000457778256563
2700	2700.41478491	0.000153624040446
2800	2801.07218363	0.000382922724665
2900	2899.60858479	0.000134970763553
3000	2999.81966588	6.01113726198e-05
3100	3099.44116484	0.000180269407586
3200	3197.7270941	0.000710283094986
3300	3295.25704788	0.00143725821767
3400	3394.11149496	0.00173191324744
3500	3492.20064882	0.00222838605121
3600	3590.76248098	0.00256597750624
3700	3690.41906537	0.0025894417928
3800	3792.82531172	0.00188807586339
3900	3894.35461212	0.00144753535365
4000	3995.49601874	0.00112599531404
4100	4097.78558363	0.00054010155363
4200	4193.73342205	0.00149204236976
4300	4293.10316099	0.00160391604911
4400	4391.7808049	0.00186799888627
4500	4493.81991796	0.00137335156544
4600	4593.71298001	0.00136674347531
4700	4690.88921744	0.00193846437382
4800	4791.59869969	0.00175027089747
4900	4891.18146689	0.00179970063375
5000	4989.06070109	0.00218785978193
5100	5090.25755841	0.00191028266441
5200	5190.56798562	0.00181384891875
5300	5287.08599053	0.00243660556087
5400	5388.61287427	0.00210872698624
5500	5489.23321745	0.0019575968265
5600	5588.22965178	0.00210184789635
5700	5688.9639578	0.00193614775374
5800	5785.62054694	0.00247921604461
5900	5885.99060431	0.00237447384643
6000	5983.38589214	0.00276901797621
6100	6083.23791823	0.00274788225656
6200	6175.11496366	0.00401371553946
6300	6275.71919178	0.00385409654307
6400	6376.79069238	0.00362645431607
6500	6476.42208568	0.00362737143367
6600	6573.81770297	0.00396701470219
6700	6673.15000181	0.00400746241697
6800	6771.42714437	0.0042018905332
6900	6872.27421955	0.00401822905111
7000	6971.59676906	0.00405760442016
7100	7071.84037212	0.00396614477188
7200	7173.78123891	0.00364149459544
7300	7274.80158396	0.0034518378136
7400	7376.44905454	0.00318256019743
7500	7476.05272727	0.00319296969746
7600	7573.07705123	0.00354249325966
7700	7674.20249703	0.00335032506096
7800	7770.33379918	0.00380335907932
7900	7866.06141151	0.00429602385941
8000	7968.53343765	0.00393332029391
8100	8064.27585492	0.00441038828173
8200	8159.42446625	0.00494823582284
8300	8257.45743616	0.00512561010099
8400	8357.91255512	0.00501041010445
8500	8454.63209843	0.00533740018458
8600	8553.9489847	0.00535476922085
8700	8654.89379247	0.00518462155471
8800	8757.81588729	0.00479364917127
8900	8859.33333184	0.00456928855774
9000	8963.90951607	0.0040100537705
9100	9063.24171352	0.00403937214116
9200	9162.47670088	0.00407861946925
9300	9263.02465254	0.00397584381256
9400	9361.52846548	0.00409271643867
9500	9463.65515451	0.00382577320925
9600	9565.89894131	0.00355219361396
9700	9664.63490238	0.00364588635303
9800	9766.8767243	0.00337992609179
9900	9864.44138909	0.00359177888018
10000	9966.47691542	0.00335230845779
10100	10063.0299109	0.0036604048606
10200	10166.6660956	0.00326802984779
10300	10261.0465955	0.00378188393215
